asset_id,name,industry,close,ma30_hold_ratio_90d,ma30_deviation_pct,total_mv_yi,avg_amount_20d_yi_estimated,max_turnover_rate_20d,context_strength_pass,primary_reason,all_reasons
000551.SZ,创元科技,专用机械,20.5,0.5222222222222223,0.23342893243216167,99.370265,6.081410089609999,15.5922,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold
000725.SZ,京东方A,元器件,8.38,0.6222222222222222,0.28141087721086655,3104.3146864,277.08474388165,16.0088,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
000783.SZ,长江证券,证券,9.98,0.4666666666666667,0.17721071049424042,551.90127542,21.74668914598,9.7062,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
000811.SZ,冰轮环境,工程机械,52.65,0.7777777777777778,0.35145541352225496,522.539667,20.559539127670007,10.3841,True,trend_stability_failed,trend_stability_failed
001256.SZ,炜冈科技,轻工机械,29.73,0.7333333333333333,0.18924756990279623,42.39872598,1.6949987855100002,16.0076,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
002068.SZ,黑猫股份,化工原料,14.2,0.6111111111111112,0.23880423403512907,104.4190184,7.494461354159998,15.8168,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
002079.SZ,苏州固锝,电气设备,14.08,0.5888888888888889,0.07303442144036598,127.91397316000001,7.769943497064999,10.5646,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
002119.SZ,康强电子,半导体,39.04,0.6222222222222222,0.29410074804150166,146.5108736,26.38400450044501,38.3512,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;turnover_quality_failed
002158.SZ,汉钟精机,工程机械,35.97,0.5666666666666667,0.12930908177574985,192.34025877,6.5901182934300016,6.4512,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed
002272.SZ,川润股份,机械基件,23.26,0.7333333333333333,0.0699007988224647,112.78245998,13.597801458349995,24.74,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;turnover_quality_failed
002289.SZ,宇顺电子,元器件,46.77,0.5777777777777777,0.11388083991584863,131.07465549,1.4727465718099995,3.5728,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;avg_amount_20d_below_threshold;industry_concept_strength_failed
002353.SZ,杰瑞股份,化工机械,161.46,0.8333333333333334,0.06864637684356767,1653.11757468,30.848432502615008,6.8914,False,industry_concept_strength_failed,industry_concept_strength_failed
002559.SZ,亚威股份,机床制造,14.24,0.5333333333333333,0.3046665037869527,78.286536,7.55403826015,33.7257,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;turnover_quality_failed
002631.SZ,德尔未来,家居用品,10.91,0.7666666666666667,0.2935736305430403,86.98356439,5.081823550980001,12.3808,False,total_mv_below_threshold,total_mv_below_threshold;industry_concept_strength_failed
002643.SZ,万润股份,化工原料,20.25,0.5444444444444444,0.1900097943192942,185.46977024999998,7.47866578615,6.5462,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed
002718.SZ,友邦吊顶,其他建材,110.99,0.7666666666666667,0.09848672294856509,143.67414541,1.93371750292,2.9447,False,avg_amount_20d_below_threshold,avg_amount_20d_below_threshold;industry_concept_strength_failed
002745.SZ,木林森,元器件,11.96,0.5444444444444444,0.0981208300177514,177.50630144,10.521727638595,12.6152,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
